CC catalog number,Author / Creator,Contributor - reconciled,Union List of Artist Names ID,Library of Congress authority ID,Contributor Wikidata QID,Contributor family name,Contributor given name,Contributor dates,Contributor death year,Contributor birth year,Contributor nationality,Contributor role
14,"Swanenburg, Willem, 1581-1612, Dutch [engraver]",Willem Isaacsz Swanenburg,500005645,n86863206,Q1961244,Swanenburg,Willem,1581-1612,1612,1581,Dutch,engraver
14,,,500052279,,,,,,,,,
14,"Bloemaert, Abraham, 1566-1651, Dutch [artist]",Abraham Bloemaert,500007342,nr93052276,Q329811,Bloemaert,Abraham,1566-1651,1651,1566,Dutch,artist
42,"Gillray, James, 1757-1815, English [etcher]",James Gillray,500017355,n50033402,Q520806,Gillray,James,1757-1815,1815,1757,English,etcher
22,"Langlois, François, 1588-1647, French [engraver (printmaker)]",François Langlois dit Chartres,500115212,nb2007023472,Q3085083,Langlois,François,1588-1647,1647,1588,French,engraver (printmaker)
12,"Mallery, Karel van, died after 1635 [engraver]",Karel van Mallery,500074598,nr00015646,Q6369402,Mallery,Karel van,died after 1635,,,,engraver
12,"Vos, Martin de, 1532-1603, Flemish [artist]",Maerten de Vos,500029816,n81032181,Q555022,Vos,Martin de,1532-1603,1603,1532,Flemish,artist
45,"Desperet, A. [lithographer]",Auguste Desperet,500702740,n00119320,Q2871156,Desperet,A.,,,,,lithographer
28,"Doetechum, Lucas van, d. before 1584, Dutch [engraver]",Lucas van Doetecum,500055788,nr00001177,Q18516699,Doetechum,Lucas van,d. before 1584,,,Dutch,engraver
28,"Gerard van Groeningen, ac.1550-1600, Dutch [artist]",Gerard Groenning,500030406,,Q20011635,Gerard van Groeningen,,ac.1550-1600,,,Dutch,artist
34,"Picart, Bernard, 1673-1733, French [engraver]",Bernard Picart,500001805,n79112983,Q559929,Picart,Bernard,1673-1733,1733,1673,French,engraver
34,"Le Sueur, Eustache, 1616-1655, French [artist]",Eustache Le Sueur,500002273,n85129176,Q1378723,Le Sueur,Eustache,1616-1655,1655,1616,French,artist
8,"Wierix, Hieronymus, 1553-1619, Flemish [engraver]",Hieronymus Wierix,500025214,nr96038520,Q2778104,Wierix,Hieronymus,1553-1619,1619,1553,Flemish,engraver
8,"Vos, Martin de, 1532-1603, Flemish [artist]",Maerten de Vos,500029816,n81032181,Q555022,Vos,Martin de,1532-1603,1603,1532,Flemish,artist
19,"Mitelli, Giuseppe Maria, 1634-1718, Italian [etcher]",Giuseppe Maria Mitelli,500018469,n80089477,Q3108083,Mitelli,Giuseppe Maria,1634-1718,1718,1634,Italian,etcher
